Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
59.59456,0.010268192,39.234936209745875,-77.96913598928906,0,1,6365.3066,-0.017045785,6,1,false,false,-0.14086606,0.67749023,7.0127645,3.0849435,-0.021427236,3
59.60966,0.0105788475,39.23492774262265,-77.9691395798687,0,1,6379.082,-0.013848992,6,1,false,false,-0.16019687,0.84888136,6.154954,3.0845578,-0.023291461,3
59.62805,0.0108895805,39.23491927549942,-77.96914317044832,0,1,6379.931,-0.011452425,6,1,false,false,-0.18847251,0.94196606,6.8995194,3.084163,-0.022091275,3
59.643578,0.011200407,39.234910718212696,-77.96914687696712,0,1,6377.549,-0.008256664,6,1,false,false,-0.27639294,0.6101911,7.078739,3.0837803,-0.021204995,3
59.655243,0.0115112895,39.234902251089466,-77.96915046754675,0,1,6408.346,-0.004527415,6,1,false,false,-0.36933237,0.5348177,5.7096777,3.0834084,-0.021301609,3
59.670544,0.01182223,39.23489378424113,-77.96915405812638,0,1,6427.064,-0.0018651388,6,1,false,false,-0.27469987,0.96410304,7.237403,3.0830448,-0.020094644,3
59.693478,0.012133267,39.2348852269544,-77.96915776464519,0,1,6410.486,0.0010649108,6,1,false,false,-0.39204848,1.1943551,6.456538,3.0827186,-0.018253973,3
59.7144,0.012444419,39.234876759831174,-77.96916135522481,0,1,6403.5264,0.0037282174,6,1,false,false,-0.39494535,1.0510982,6.6770535,3.0824218,-0.016034147,3
59.736588,0.012755671,39.23486829270795,-77.96916494580444,0,1,6410.808,0.007989921,6,1,false,false,-0.43951318,1.097898,8.0720215,3.0821598,-0.013778942,3
59.756866,0.013067036,39.234859735696105,-77.96916865232325,0,1,6395.5566,0.011185683,6,1,false,false,-0.36557662,0.9594715,9.520718,3.081947,-0.010413088,3
59.776497,0.013378509,39.23485126857288,-77.96917224290287,0,1,6403.934,0.012783051,6,1,false,false,-0.26448599,0.9755589,11.351748,3.0818055,-0.006256337,3
59.797615,0.0136900805,39.23484271128615,-77.96917594942168,0,1,6404.6943,0.013582247,6,1,false,false,-0.38777766,1.1848838,11.975229,3.0817628,-0.0016666771,3
59.822296,0.014001787,39.234834153999415,-77.9691795400013,0,1,6380.219,0.013848992,6,1,false,false,-0.42053533,1.3232548,10.44577,3.0817876,0.0016998504,3
