s_m,Lat,Lon,curvature,track_width,lateral_offset,boundary_L_m,boundary_R_m,boundary_L_lat,boundary_L_lon,boundary_R_lat,boundary_R_lon
2816.778319,39.238411,-77.967615,-0.008206,14.000000,-0.825577,12.779041,1.220959,39.238399,-77.967468,39.238412,-77.967630
2819.971945,39.238383,-77.967620,-0.006411,14.000000,-0.791264,12.538845,1.461155,39.238368,-77.967476,39.238384,-77.967637
2823.165571,39.238354,-77.967625,-0.005170,14.000000,-0.750617,12.254322,1.745678,39.238338,-77.967484,39.238356,-77.967645
2826.359198,39.238325,-77.967631,-0.005340,14.000000,-0.704369,11.930582,2.069418,39.238308,-77.967494,39.238328,-77.967654
2829.552824,39.238297,-77.967637,-0.005781,14.000000,-0.653341,11.573386,2.426614,39.238278,-77.967505,39.238301,-77.967665
2832.746450,39.238269,-77.967644,-0.005646,14.000000,-0.598430,11.189012,2.810988,39.238248,-77.967517,39.238274,-77.967676
2835.940076,39.238240,-77.967652,-0.005224,14.000000,-0.540589,10.784121,3.215879,39.238219,-77.967530,39.238247,-77.967688
2839.133703,39.238212,-77.967660,-0.004866,14.000000,-0.481428,10.369998,3.630002,39.238190,-77.967543,39.238220,-77.967701
2842.327329,39.238184,-77.967669,-0.005395,14.000000,-0.422666,9.958662,4.041338,39.238162,-77.967557,39.238193,-77.967714
2845.520955,39.238156,-77.967678,-0.005660,14.000000,-0.365713,9.559993,4.440007,39.238133,-77.967571,39.238167,-77.967728
2848.714581,39.238128,-77.967688,-0.004945,14.000000,-0.310996,9.176975,4.823025,39.238105,-77.967586,39.238141,-77.967742
2851.908207,39.238101,-77.967699,-0.004061,14.000000,-0.258446,8.809125,5.190875,39.238077,-77.967601,39.238114,-77.967757
2855.101834,39.238073,-77.967710,-0.003595,14.000000,-0.207229,8.450601,5.549399,39.238050,-77.967617,39.238088,-77.967771
2858.295460,39.238046,-77.967722,-0.003491,14.000000,-0.156283,8.093984,5.906016,39.238022,-77.967633,39.238063,-77.967787
2861.489086,39.238018,-77.967734,-0.003617,14.000000,-0.104727,7.733092,6.266908,39.237995,-77.967649,39.238037,-77.967802
2864.682712,39.237991,-77.967746,-0.003864,14.000000,-0.052526,7.367679,6.632321,39.237968,-77.967665,39.238011,-77.967818
2867.876338,39.237964,-77.967759,-0.003502,14.000000,-0.000000,7.000000,7.000000,39.237942,-77.967683,39.237986,-77.967835
2871.069965,39.237937,-77.967772,-0.002826,14.000000,0.052526,6.632321,7.367679,39.237915,-77.967700,39.237961,-77.967852
2874.263591,39.237910,-77.967785,-0.002128,14.000000,0.104727,6.266908,7.733092,39.237889,-77.967718,39.237936,-77.967869
